Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Start listener action : autoUpdateJobStatus,Chrome 111.0.0.0,,,2023-03-16 17:24:51,2023-03-16 17:24:51,0.038s,PASSED
,,,,,,,
Test Cases/TC_Salesforce New/RecallTest/Lead/Create a Lead,Chrome 111.0.0.0,,,2023-03-16 17:24:51,2023-03-16 17:25:28,36.934s,FAILED
Start listener action : sampleBeforeTestCase3,Chrome 111.0.0.0,,,2023-03-16 17:24:51,2023-03-16 17:24:51,0.059s,PASSED
Start listener action : enableSauceLabs,Chrome 111.0.0.0,,,2023-03-16 17:24:51,2023-03-16 17:24:51,0.023s,PASSED
"enhancedClick(findTestObject(""Object Repository/OR_Salesforce New/Page_Home  Salesforce/span_Leads""))",Chrome 111.0.0.0,,,2023-03-16 17:24:51,2023-03-16 17:25:28,36.535s,FAILED
Start listener action : sampleAfterTestCase2,Chrome 111.0.0.0,,,2023-03-16 17:25:28,2023-03-16 17:25:28,0.006s,PASSED
Start listener action : autoUpdateJobStatus,Chrome 111.0.0.0,,,2023-03-16 17:25:28,2023-03-16 17:25:28,0.002s,PASSED
,,,,,,,
Test Cases/TC_Salesforce New/RecallTest/Lead/Change status from a Lead,Chrome 111.0.0.0,,,2023-03-16 17:25:28,2023-03-16 17:25:28,0.052s,SKIPPED
Start listener action : sampleBeforeTestCase3,Chrome 111.0.0.0,,,2023-03-16 17:25:28,2023-03-16 17:25:28,0.033s,PASSED
Start listener action : enableSauceLabs,Chrome 111.0.0.0,,,2023-03-16 17:25:28,2023-03-16 17:25:28,0.002s,PASSED
Start listener action : sampleAfterTestCase2,Chrome 111.0.0.0,,,2023-03-16 17:25:28,2023-03-16 17:25:28,0.001s,PASSED
Start listener action : autoUpdateJobStatus,Chrome 111.0.0.0,,,2023-03-16 17:25:28,2023-03-16 17:25:28,0.001s,PASSED
,,,,,,,
Test Cases/TC_Salesforce New/RecallTest/Lead/Change the Lead Owner,Chrome 111.0.0.0,,,2023-03-16 17:25:28,2023-03-16 17:25:28,0.030s,SKIPPED
Start listener action : sampleBeforeTestCase3,Chrome 111.0.0.0,,,2023-03-16 17:25:28,2023-03-16 17:25:28,0.002s,PASSED
Start listener action : enableSauceLabs,Chrome 111.0.0.0,,,2023-03-16 17:25:28,2023-03-16 17:25:28,0.002s,PASSED
Start listener action : sampleAfterTestCase2,Chrome 111.0.0.0,,,2023-03-16 17:25:28,2023-03-16 17:25:28,0.003s,PASSED
Start listener action : autoUpdateJobStatus,Chrome 111.0.0.0,,,2023-03-16 17:25:28,2023-03-16 17:25:28,0.002s,PASSED
,,,,,,,
Test Cases/TC_Salesforce New/RecallTest/Lead/Search a Lead by name and Delete a Lead,Chrome 111.0.0.0,,,2023-03-16 17:25:28,2023-03-16 17:25:28,0.022s,SKIPPED
Start listener action : sampleBeforeTestCase3,Chrome 111.0.0.0,,,2023-03-16 17:25:28,2023-03-16 17:25:28,0.005s,PASSED
Start listener action : enableSauceLabs,Chrome 111.0.0.0,,,2023-03-16 17:25:28,2023-03-16 17:25:28,0.001s,PASSED
Start listener action : sampleAfterTestCase2,Chrome 111.0.0.0,,,2023-03-16 17:25:28,2023-03-16 17:25:28,0.001s,PASSED
Start listener action : autoUpdateJobStatus,Chrome 111.0.0.0,,,2023-03-16 17:25:28,2023-03-16 17:25:28,0.001s,PASSED
,,,,,,,
Test Cases/TC_Salesforce New/RecallTest/SetupTeardown/Close application,Chrome 111.0.0.0,,,2023-03-16 17:25:28,2023-03-16 17:25:28,0.017s,SKIPPED
Start listener action : sampleBeforeTestCase3,Chrome 111.0.0.0,,,2023-03-16 17:25:28,2023-03-16 17:25:28,0.003s,PASSED
Start listener action : enableSauceLabs,Chrome 111.0.0.0,,,2023-03-16 17:25:28,2023-03-16 17:25:28,0.001s,PASSED
Start listener action : sampleAfterTestCase2,Chrome 111.0.0.0,,,2023-03-16 17:25:28,2023-03-16 17:25:28,0.001s,PASSED
Start listener action : autoUpdateJobStatus,Chrome 111.0.0.0,,,2023-03-16 17:25:28,2023-03-16 17:25:28,0.001s,PASSED
