Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Salesforce New,Chrome 111.0.0.0,,,2023-03-16 17:24:18,2023-03-16 17:25:28,1m - 9.979s,FAILED
,,,,,,,
Test Cases/TC_Salesforce New/RecallTest/SetupTeardown/Login into Salesforce,Chrome 111.0.0.0,,,2023-03-16 17:24:19,2023-03-16 17:24:51,32.055s,PASSED
Start listener action : sampleBeforeTestCase3,Chrome 111.0.0.0,,,2023-03-16 17:24:19,2023-03-16 17:24:19,0.366s,PASSED
Start listener action : enableSauceLabs,Chrome 111.0.0.0,,,2023-03-16 17:24:19,2023-03-16 17:24:19,0.012s,PASSED
"openBrowser("""")",Chrome 111.0.0.0,,,2023-03-16 17:24:20,2023-03-16 17:24:28,8.318s,PASSED
"webKeywords.ApplicationFunction.enhanced_SetViewportSize(2650, 1400)",Chrome 111.0.0.0,,,2023-03-16 17:24:28,2023-03-16 17:24:29,0.489s,PASSED
navigateToUrl(APP_URL),Chrome 111.0.0.0,,,2023-03-16 17:24:29,2023-03-16 17:24:32,3.434s,PASSED
"setText(findTestObject(""Object Repository/OR_Salesforce New/Page_Login  Salesforce/input_Username_username""), USERNAME)",Chrome 111.0.0.0,,,2023-03-16 17:24:32,2023-03-16 17:24:33,1.311s,PASSED
"setEncryptedText(findTestObject(""Object Repository/OR_Salesforce New/Page_Login  Salesforce/input_Password_pw""), PASSWORD)",Chrome 111.0.0.0,,,2023-03-16 17:24:33,2023-03-16 17:24:34,0.830s,PASSED
"click(findTestObject(""Object Repository/OR_Salesforce New/Page_Login  Salesforce/input_Password_Login""))",Chrome 111.0.0.0,,,2023-03-16 17:24:34,2023-03-16 17:24:35,0.953s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/OR_Salesforce New/Page_Home  Salesforce/span_Sales Manager""), 10)",Chrome 111.0.0.0,,,2023-03-16 17:24:35,2023-03-16 17:24:51,15.522s,PASSED
Start listener action : sampleAfterTestCase2,Chrome 111.0.0.0,,,2023-03-16 17:24:51,2023-03-16 17:24:51,0.059s,PASSED
